License First Date,Facility Status,Facility Telephone Number,Facility Number,Facility State,Regional Office,Inspection Visits,Other TypeA,Citation Numbers,POC Dates,Other TypeB,,"Complaint Information - Date, #Sub Alleg, # Inc Alleg, # TypeA, # TypeB .....",Other Visits,longitude,Facility Type,Inspection Visit Dates,Facility Zip,County Name,Facility Address,All Visit Dates,Complaint Visits,Licensee,Facility Name,Facility Administrator,Facility City,latitude,Inspect TypeB,Facility Capacity,Inspect TypeA,Total Visits,Last Visit Date,Other Visit Dates,Closed Date
7/20/2006,LICENSED,(530) 878-8912,317003600,CA,27,1,0,,,0,,No Complaints,9,-118.93564,ADULT DAY PROGRAM,03/04/2014,95722,PLACER,16825 PLACER HILLS RD. ROOM 20,"06/24/2015, 06/24/2015, 12/03/2014, 04/09/2014, 04/09/2014, 03/12/2014, 03/04/2014, 05/15/2013, 07/13/2011, 06/30/2011",0,PLACER ARC,ADULT ACHIEVEMENT CENTER,CINDY CUFFE,MEADOW VISTA,35.404944,0,80,0,10,6/24/2015,"06/24/2015, 06/24/2015, 12/03/2014, 04/09/2014, 04/09/2014, 03/12/2014, 05/15/2013, 07/13/2011, 06/30/2011",
6/22/2004,LICENSED,(626) 966-2857,198600359,CA,28,3,0,,,0,,No Complaints,1,-118.339526,ADULT DAY PROGRAM,"04/15/2013, 09/14/2012, 07/29/2011",91723,LOS ANGELES,344 SOUTH CITRUS AVENUE,"08/16/2013, 04/15/2013, 09/14/2012, 07/29/2011",0,"ADULT BASIC LEARNING ENVIRONMENT, INC.",ADULT BASIC LEARNING ENVIRONMENT,MONIKA LOZANA,COVINA,34.067566,0,45,0,4,8/16/2013,08/16/2013,
5/6/1997,LICENSED,(818) 842-4933,197601249,CA,31,1,0,"82075(a), 82087(a)","03/15/2012, 04/05/2012",0,"['0', '2', '0', '0']",09/26/2013,0,-118.316932,ADULT DAY PROGRAM,03/08/2012,91502,LOS ANGELES,204 N. VICTORY BLVD.,"07/05/2013, 07/05/2013, 03/08/2012",2,"ADULT BASIC LEARNING ENVIRONMENT, INC.","ADULT BASIC LEARNING ENVIRONMENT,  INC",REGINA JASO,BURBANK,34.17517,1,30,1,3,7/5/2013,,
7/6/1988,LICENSED,(909) 797-0168,360908714,CA,18,2,1,"82078, 82072 a(3), 82078","09/30/2011, 09/30/2011, 12/02/2011",0,"['1', '0', '2', '0']",10/03/2011,5,-117.053017,ADULT DAY PROGRAM,"07/11/2014, 04/29/2013",92399,SAN BERNARDINO,34453 YUCAIPA BLVD.,"07/11/2014, 04/29/2013, 01/22/2013, 12/13/2012, 12/01/2011, 09/29/2011, 09/29/2011, 09/23/2011",1,"ADULT BASIC LEARNING ENVIRONMENT, INC.","ADULT BASIC LEARNING ENVIRONMENT, INC.",LARONDA SAXON,YUCAIPA,34.035121,0,30,0,8,7/11/2014,"01/22/2013, 12/13/2012, 12/01/2011, 09/29/2011, 09/23/2011",
10/30/1995,LICENSED,(909) 335-3030,366400732,CA,18,2,0,"82087(a)(3), 82087(a), 82087(a)(3), 82069, 82087(a), 80087(e), 82088(e)(1), 82087(a), 80087, 80088, 82075, 80087, 80087, 80065(i)(2), 82076, 80070 (d), 80078 , 82087(a), 82087(a), 82065.5","08/06/2014, 08/22/2014, 08/06/2014, 08/15/2014, 08/22/2014, 08/06/2014, 08/15/2014, 08/22/2014, 01/19/2012, 01/19/2012, 01/19/2012, 01/19/2012, 01/19/2012, 12/20/2011, 01/19/2012, 01/19/2012, 01/19/2012, 03/20/2015, 03/20/2015, 12/26/2014",3,"['0', '2', '0', '0', '09/10/2015', '0', '3', '0', '0', '04/07/2015', '0', '1', '0', '0']",10/09/2015,4,-122.094584,ADULT DAY PROGRAM,"08/05/2014, 12/20/2011",92374,SAN BERNARDINO,1910 ORANGETREE LANE SUITE 340,"07/09/2015, 02/24/2015, 01/16/2015, 12/18/2014, 12/18/2014, 08/28/2014, 08/05/2014, 01/26/2012, 12/20/2011",3,"ADULT BASIC LEARNING ENVIRONMENT, INC.","ADULT BASIC LEARNING ENVIRONMENT, INC.",CAROL SANTA CRUZ,REDLANDS,37.36762,11,45,6,9,7/9/2015,"02/24/2015, 12/18/2014, 08/28/2014, 01/26/2012",
2/1/1990,LICENSED,(626) 858-5267,191592637,CA,28,3,0,,,0,"['0', '1', '0', '0']",08/27/2012,0,-117.898119,ADULT DAY PROGRAM,"01/16/2014, 02/04/2013, 03/02/2012",91723,LOS ANGELES,452 W. BADILLO ST.,"01/16/2014, 02/04/2013, 07/09/2012, 03/02/2012",1,ADULT BASIC LEARNING ENVIRONMENT II,"ADULT BASIC LEARNING ENVIRONMENT, INC.",LUCY JIMENEZ,COVINA,34.085953,0,30,0,4,1/16/2014,,
5/10/1999,LICENSED,(562) 602-2818,197802692,CA,28,1,0,"80087(g) , 80088(f) , 80019(e)(3), 82087(a), 82088(e)(3), 80088(e)(1) , 82061(a)(1)(D) ","03/21/2014, 03/22/2014, 03/22/2014, 04/04/2014, 04/04/2014, 03/25/2014, 04/24/2015",1,"['1', '1', '0', '0']",02/27/2016,4,-118.153927,ADULT DAY PROGRAM,03/21/2014,90805,LOS ANGELES,"3255 SOUTH STREET, #202","02/25/2016, 02/25/2016, 02/25/2016, 04/24/2015, 05/05/2014, 04/11/2014, 04/04/2014, 03/21/2014",3,"ADULT BASIC LEARNING ENVIRONMENT, INC.","ADULT BASIC LEARNING ENVIRONMENT, INC.",QUIYANA WILLIAMS,LONG BEACH,33.861171,3,45,3,8,2/25/2016,"04/24/2015, 05/05/2014, 04/11/2014, 04/04/2014",
6/19/2001,LICENSED,(818) 550-8400,197603293,CA,31,2,0,"82019(e)(2), 82087(a)(3), 82065(g)(1)","12/17/2012, 12/17/2012, 12/31/2012",0,,No Complaints,1,-118.157121,ADULT DAY PROGRAM,"12/17/2012, 08/04/2011",91202,LOS ANGELES,320 WEST COLORADO BLVD.,"03/12/2013, 12/17/2012, 08/04/2011",0,"ADULT BASIC LEARNING ENVIRONMENT, INC.","ADULT BASIC LEARNING ENVIRONMENT, INC.","RUNTU, RAMAMITA",GLENDALE,34.145201,1,45,2,3,3/12/2013,03/12/2013,
5/13/1996,LICENSED,(661) 393-8871,157200314,CA,24,1,0,"82068.2(d)-(g), 82075(l)(7)","01/15/2016, 11/06/2015",0,"['1', '0', '0', '1']",02/22/2016,0,-119.064092,ADULT DAY PROGRAM,10/28/2015,93308,KERN,5500 OLIVE DR.,"10/28/2015, 01/08/2016",1,ALZHEIMER'S DISEASE ASSOCIATION OF KERN COUNTY,ADULT DAY CARE CENTER,"EUCCE, BRENDA",BAKERSFIELD,35.413097,1,45,0,2,1/8/2016,,
7/3/1997,CLOSED,(707) 994-2829,176800488,CA,21,1,0,,,0,,No Complaints,0,-122.644015,ADULT DAY PROGRAM,08/28/2013,95422,LAKE,14310 MEMORY LANE,08/28/2013,0,TRIPLE S INSTITUTE,ADULT DAY CARE RESPITE OF LAKE COUNTY,"JOHNSON, JENNY",CLEARLAKE,38.962257,0,15,0,1,8/28/2013,,7/1/2014
6/19/2014,LICENSED,(707) 350-3030,176803509,CA,21,0,0,,,0,,No Complaints,2,-122.644015,ADULT DAY PROGRAM,,95422,LAKE,14310 MEMORY LANE,"05/29/2014, 06/11/2014",0,"ELDER DAY SERVICES OF LAKE COUNTY CA, INC.","ADULT DAY CENTER, CLEARLAKE",JENNY JOHNSON,CLEARLAKE,38.962257,0,15,0,2,6/11/2014,"05/29/2014, 06/11/2014",
6/19/2014,LICENSED,(707) 350-3030,176803510,CA,21,0,0,,,0,,No Complaints,2,-122.614989,ADULT DAY PROGRAM,,95461,LAKE,21256 WASHINGTON STREET,"05/29/2014, 06/05/2014",0,"ELDER DAY SERVICES OF LAKE COUNTY CA, INC.","ADULT DAY CENTER, MIDDLETOWN",JENNY JOHNSON,MIDDLETOWN,38.750107,0,13,0,2,6/5/2014,"05/29/2014, 06/05/2014",
3/4/2014,LICENSED,(916) 276-5337,317005272,CA,27,1,0,82075(f),07/30/2014,0,"['0', '1', '0', '0']",11/20/2015,1,-121.216222,ADULT DAY PROGRAM,06/30/2014,95677,PLACER,"2520 WARREN DRIVE, STE B","11/04/2015, 06/30/2014, 02/10/2014",1,"ADULT DAY EXPERIENCES, INC",ADULT DAY EXPERIENCES TOO,ASHLI E. KACKLE,ROCKLIN,38.79787,1,30,0,3,11/4/2015,02/10/2014,
2/22/2010,LICENSED,(916) 632-2332,317004491,CA,27,1,0,"82075(f), 82087(a)","07/30/2014, 07/14/2014",0,,No Complaints,2,-121.216863,ADULT DAY PROGRAM,06/30/2014,95677,PLACER,"2510 WARREN DRIVE, SUITE A","06/30/2014, 06/13/2012, 06/11/2012",0,"GAUDET, ADRIENE",ADULT DAY EXPERIENCES (ADE),RHONDA M MANCEBO,ROCKLIN,38.797464,2,30,0,3,6/30/2014,"06/13/2012, 06/11/2012",
8/2/1993,LICENSED,(310) 532-6271,191670621,CA,28,1,0,"82061(c), 82072(a)(10), 82087(a)(3), 82079(a), 82087(a) , 82088(e)(3) ","05/20/2016, 05/20/2016, 06/24/2015, 07/01/2015, 08/24/2015, 08/24/2015",0,"['1', '0', '0', '2', '10/19/2015', '4', '0', '0', '4']",05/14/2016,2,-118.298479,ADULT DAY PROGRAM,05/08/2012,90247,LOS ANGELES,13515 SO. VERMONT AVE.,"05/11/2016, 03/16/2016, 06/24/2015, 09/20/2013, 02/08/2013, 05/08/2012",3,ASSOCIATION FOR RETARDED CITIZENS - SOUTH BAY,ADULT DEVELOPMENT CENTER-GARDENA,"CRAWFORD, EDYTHE M.",GARDENA,33.908727,0,77,0,6,5/11/2016,"09/20/2013, 02/08/2013",
3/10/1988,LICENSED,(310) 318-9343,191600461,CA,28,1,0,,,0,,No Complaints,0,-118.394206,ADULT DAY PROGRAM,02/24/2015,90254,LOS ANGELES,710 PIER AVE.,02/24/2015,0,ASSOCIATION FOR RETARDED CITIZENS - SOUTH BAY,ADULT DEVELOPMENT CENTER - HERMOSA BEACH,"LEUCI, MARY",HERMOSA BEACH,33.86451,0,52,0,1,2/24/2015,,
5/30/1989,LICENSED,(209) 931-1131,390312001,CA,27,1,0,82019(f),04/11/2016,0,,No Complaints,0,-121.229965,ADULT DAY PROGRAM,04/11/2016,95205,SAN JOAQUIN,3555 WILMARTH ROAD,04/11/2016,0,ARC SAN JOAQUIN,ADULT DEVELOPMENT CENTER - NORTH,JAYNE AZEVEDO,STOCKTON,38.000972,0,30,1,1,4/11/2016,,
12/31/1987,CLOSED,(818) 996-3761,191220569,CA,31,3,2,"80020(a), 82019(a)(e), 82087(a)(3), 82088(e)(1), 82088(e)(1), 82087(a)(3), 82087(a), 82075(f), 82076(a)20(21), 82076(a)(16), 82068.3(a), 82022(b)(3), 82064(a)(6), 82068(a)(c), 82070(a), 82019(d), 82065(g)(1), 82068(a), 82088.2(a)(1), 82087(a), 82088(f)(1), 82068.3(a), 82075(f), 82065 (f), 82065(g)(1), 82076(a)(16), 82022(h), 82022(b)(11), 82087(a), 82088(f)(1)","07/25/2014, 03/29/2013, 03/16/2012, 03/16/2012, 10/06/2011, 10/06/2011, 04/11/2013, 03/23/2012, 04/16/2012, 03/16/2012, 03/16/2012, 04/16/2012, 04/16/2012, 04/16/2012, 04/16/2012, 03/23/2012, 03/23/2012, 03/30/2012, 03/19/2012, 03/16/2012, 03/16/2012, 10/28/2011, 10/28/2011, 10/28/2011, 10/28/2011, 10/06/2011, 10/06/2011, 10/06/2011, 10/06/2011, 10/06/2011",9,,No Complaints,6,-118.512428,ADULT DAY PROGRAM,"07/25/2014, 03/28/2013, 03/16/2012",91406,LOS ANGELES,17400 VANOWEN STREET,"10/10/2014, 07/25/2014, 08/23/2013, 03/28/2013, 03/27/2012, 03/16/2012, 02/29/2012, 10/19/2011, 10/04/2011",0,"ADULT SKILLS CENTER, THE","ADULT SKILLS CENTER, THE","LANE, KEN",VAN NUYS,34.193739,15,60,4,9,10/10/2014,"10/10/2014, 08/23/2013, 03/27/2012, 02/29/2012, 10/19/2011, 10/04/2011",10/1/2014
1/27/2000,LICENSED,(530) 406-0830,577001513,CA,27,2,0,82019(e)(1),12/29/2015,0,,No Complaints,0,-121.761096,ADULT DAY PROGRAM,"12/29/2015, 11/25/2013",95695,YOLO,220 HARTER AVENUE,"12/29/2015, 11/25/2013",0,"YOLO EMPLOYMENT SERVICES, INC.",ADULT TRAINING PROGRAM,CHERYL CURRY,WOODLAND,38.688646,0,45,1,2,12/29/2015,,
,PENDING,(916) 203-6246,312700054,CA,27,0,0,,,0,,No Complaints,0,-121.296255,ADULT DAY PROGRAM,,95765,PLACER,3845 ATHERTON ROAD #7,,0,SEAN SUH ON BEHALF OF ADULT VOCATIONAL SERVICES,ADULT VOCATIONAL SERVICES INC,"SUH, SEAN",ROCKLIN,38.814331,0,30,0,0,,,
3/8/2004,CLOSED,(818) 708-1756,198600268,CA,31,1,0,,,0,,No Complaints,0,-118.518196,ADULT DAY PROGRAM,02/29/2012,91406,LOS ANGELES,17651 VANOWEN STREET UNIT B,02/29/2012,0,"ADULT SKILLS CENTER, INC., THE","ADULTS SKILLS CENTER (TASC) DAY PROGRAM II, THE","LANE, KENNETH E.",VAN NUYS,34.194012,0,15,0,1,2/29/2012,,9/1/2011
3/23/2012,LICENSED,(951) 688-5143,336425344,CA,18,0,0,82072(a)(3),11/17/2015,0,"['2', '0', '1', '0']",01/25/2016,6,-117.761851,ADULT DAY PROGRAM,,92504,RIVERSIDE,8138 MAR VISTA COURT,"05/16/2016, 02/25/2016, 11/03/2015, 10/28/2015, 11/17/2014, 02/29/2012, 02/29/2012",1,ARC RIVERSIDE,ADVANCE ENTERPRISES RIVERSIDE,"VINCENT, BARBARA",RIVERSIDE,33.731198,0,170,0,7,5/16/2016,"05/16/2016, 02/25/2016, 10/28/2015, 11/17/2014, 02/29/2012, 02/29/2012",
3/20/1998,LICENSED,(310) 355-1150,198201796,CA,28,1,3,"82087(a)(3), 82028(A)-(E), 82020, 82087(a), 82087(a)(1), 82070(a), 82066(a)","07/02/2015, 07/28/2014, 07/28/2014, 07/02/2015, 07/02/2015, 07/31/2015, 07/31/2015",0,,No Complaints,2,-118.359396,ADULT DAY PROGRAM,03/24/2015,90250,LOS ANGELES,11703 EUCALYPTUS,"07/02/2015, 03/24/2015, 07/28/2014",0,"ANEL, LETICIA",ADVANTAGE,"ANEL, LETICIA",HAWTHORNE,33.928166,0,15,0,3,7/2/2015,"07/02/2015, 07/28/2014",
3/14/2011,LICENSED,(619) 697-6311,374603103,CA,08,1,0,82087(a),12/23/2014,0,"['1', '0', '0', '1']",01/29/2015,1,-117.017773,ADULT DAY PROGRAM,02/28/2012,91942,SAN DIEGO,8363 CENTER DR UNIT 4,"12/16/2014, 04/29/2014, 02/28/2012, 02/28/2012",2,KAT & SEY CORP,"ADVANTAGE CENTER, THE",DARIUSH RAZAVI,LA MESA,32.773958,0,75,0,4,12/16/2014,02/28/2012,
1/5/1994,LICENSED,(562) 597-4396,191604283,CA,28,1,3,"82068.3(b), 82072(a)(8)(E), 82078, 82054(b), 82087(a), 82087(a), 82088(e)(3), 82088(e)(3)","04/09/2012, 04/10/2012, 04/09/2012, 10/30/2015, 10/30/2015, 10/24/2015, 11/06/2015, 11/06/2015",0,"['0', '1', '0', '0']",04/13/2012,3,-118.147288,ADULT DAY PROGRAM,10/23/2015,90815,LOS ANGELES,4519 EAST STEARNS STREET,"11/12/2015, 10/23/2015, 08/24/2012, 04/09/2012, 04/09/2012",1,"ADVOCACY FOR RESPECT AND CHOICE-LONG BEACH, INC.",ADVOCACY FOR RESPECT AND CHOICE-LONG BEACH,"SCHNEIDER, CHARLOTTE",LONG BEACH,33.795828,5,60,0,5,11/12/2015,"11/12/2015, 08/24/2012, 04/09/2012",
,CLOSED,(323) 369-3987,198601443,CA,28,0,0,,,0,,No Complaints,3,-118.278614,ADULT DAY PROGRAM,,90061,LOS ANGELES,12833 S. BROADWAY,"03/16/2012, 03/09/2012, 01/18/2012",0,KENNETH A. RICHARD,ADVOCATE BEHAVIOR PROGRAM,KENNETH A. RICHARD,LOS ANGELES,33.915512,0,120,0,3,3/16/2012,"03/16/2012, 03/09/2012, 01/18/2012",11/7/2014
7/7/2010,CLOSED,(310) 324-4857,198601338,CA,28,0,0,,,0,,No Complaints,1,-118.265789,ADULT DAY PROGRAM,,90746,LOS ANGELES,500 E. CARSON PLAZA DRIVE #103,07/20/2012,0,"ARG LIVING OPTIONS, INC.",AGAPE ADULT DAY PROGRAM,EMILY F. MARQUEZ,CARSON,33.844481,0,50,0,1,7/20/2012,07/20/2012,7/1/2012
5/7/2010,LICENSED,(626) 339-0400,198601301,CA,28,2,0,82072(a)(1),10/11/2012,0,"['0', '1', '0', '0', '11/04/2012', '1', '0', '0', '1']",02/08/2014,0,-118.339538,ADULT DAY PROGRAM,"08/12/2014, 06/17/2011",91723,LOS ANGELES,440 SOUTH CITRUS AVE,"08/12/2014, 12/12/2013, 10/11/2012, 06/17/2011",2,"AIM HIGHER, INC.",AIM HIGHER COVINA,ROBERT LICON,COVINA,34.065455,0,80,0,4,8/12/2014,,
12/20/2014,LICENSED,(916) 599-5200,198601783,CA,28,0,0,,,0,,No Complaints,2,-117.908842,ADULT DAY PROGRAM,,91791,LOS ANGELES,1751 ROWLAND AVENUE,"11/12/2014, 11/26/2014",0,SAN GABRIEL ADULT DAY PROGRAM,AIM HIGHER INC,MARINA DAVID,WEST COVINA,34.079465,0,70,0,2,11/26/2014,"11/12/2014, 11/26/2014",
5/3/2010,CLOSED,(916) 599-5200,486803250,CA,21,2,1,"82078, 82063 (a), 82061 (D), 82075(b), 82068.3(a), 82068.3, .","07/26/2013, 08/22/2012, 08/22/2012, 09/05/2012, 10/10/2013, 07/30/2013, 07/24/2013",3,"['1', '0', '0', '2']",08/31/2012,7,-122.125969,ADULT DAY PROGRAM,"04/17/2013, 08/29/2012",94534,SOLANO,"324 CAMPUS LANE, STE C","03/19/2014, 10/03/2013, 08/23/2013, 07/31/2013, 07/24/2013, 04/17/2013, 08/29/2012, 08/15/2012, 08/07/2012, 08/07/2012",1,AIM HIGHER,AIM HIGHER INC FAIRFIELD,"DAVID, MARINA",FAIRFIELD,38.231427,1,80,0,10,3/19/2014,"03/19/2014, 10/03/2013, 08/23/2013, 07/31/2013, 07/24/2013, 08/07/2012, 08/07/2012",4/2/2014
5/13/2013,LICENSED,(408) 462-9811,435202347,CA,26,2,0,"82088(e)(1), 82068.3(a), 82068.2(d)(1)","12/11/2014, 12/17/2014, 10/10/2013",1,,No Complaints,2,-121.989113,ADULT DAY PROGRAM,"12/10/2014, 05/12/2016",94089,SANTA CLARA,1237 REAMWOOD DRIVE,"05/12/2016, 12/10/2014, 10/03/2013, 05/08/2013",0,SAN JOSE ADULT DAY PROGRAM DBA AIM HIGHER S'VALE,AIM HIGHER INC.,MARINA DAVID,SUNNYVALE,37.404188,1,80,1,4,5/12/2016,"10/03/2013, 05/08/2013",
12/19/2008,LICENSED,(916) 599-5200,347004282,CA,27,2,1,"82088(e)(1), 82087(a)(3), 82023(d), 80092.1, 80061(b) , 82068.2(d)(1)","03/11/2016, 03/11/2016, 03/11/2016, 08/26/2011, 10/07/2014, 03/31/2016",0,,No Complaints,1,-121.460906,ADULT DAY PROGRAM,"03/10/2016, 08/18/2011",95758,SACRAMENTO,"3151 DWIGHT ROAD, SUITE 300","03/10/2016, 10/06/2014, 08/18/2011",0,ED DAVID DBA AIM HIGHER #3,AIM HIGHER INC.,"DAVID, MARINA",ELK GROVE,38.426992,1,30,4,3,3/10/2016,10/06/2014,
3/13/2008,LICENSED,(916) 599-5200,347004075,CA,27,2,0,80023 (d),02/23/2012,0,,No Complaints,0,-121.460906,ADULT DAY PROGRAM,"03/22/2016, 02/21/2012",95758,SACRAMENTO,"3151 DWIGHT ROAD, SUITE 100","03/22/2016, 02/21/2012",0,ED DAVID DBA AIM HIGHER #2,AIM HIGHER INC.,"DAVID, ED",ELK GROVE,38.426992,0,50,1,2,3/22/2016,,
8/25/2005,LICENSED,(916) 783-4688,317003286,CA,27,1,0,,,0,"['0', '1', '0', '0']",09/30/2014,7,-121.273662,ADULT DAY PROGRAM,08/24/2015,95661,PLACER,1132 SMITH LANE,"08/24/2015, 01/30/2015, 05/23/2014, 05/23/2014, 02/20/2014, 02/20/2014, 08/27/2013, 08/27/2013, 05/10/2012, 07/07/2011",2,AIM HIGHER INC. DBA ED DAVID,AIM HIGHER INC. DBA ED DAVID,"DAVID, ED",ROSEVILLE,38.738371,0,136,0,10,8/24/2015,"01/30/2015, 02/20/2014, 02/20/2014, 08/27/2013, 08/27/2013, 05/10/2012, 07/07/2011",
12/27/2010,LICENSED,(408) 599-3155,435202216,CA,26,4,0,"82072(a)(3) , 82072(a)(3) , H&S 1503.2, 82087(a)(3), 82088(e)(1), 82087(a), 82075(f), 82075(g)(1)(G), 82087(a) , 82087(a), 82088(e)(1)","01/20/2015, 01/27/2015, 12/05/2015, 12/25/2013, 12/22/2014, 12/22/2014, 12/25/2013, 12/11/2013, 12/25/2013, 07/02/2013, 07/02/2013",0,"['2', '0', '2', '0']",09/09/2015,2,-121.778869,ADULT DAY PROGRAM,"12/04/2015, 12/15/2014, 12/04/2013, 06/25/2013",95119,SANTA CLARA,"90 GREAT OAKS BLVD., STE. #101","12/10/2015, 12/04/2015, 01/16/2015, 12/15/2014, 12/04/2013, 06/25/2013, 06/28/2011",1,AIM HIGHER,"AIM HIGHER, INC.",MARINA DAVID,SAN JOSE,37.233891,7,80,2,7,12/10/2015,"12/10/2015, 06/28/2011",
12/6/2001,LICENSED,(209) 948-5759,397001860,CA,27,2,2,"80072(a)(1), 82065(i)(2), 80087(g)(1), 82088(e)(1), 82088(e)(1), H&S 1523.1(e)","03/12/2013, 04/14/2016, 12/08/2011, 12/08/2011, 04/20/2016, 04/20/2016",1,"['1', '0', '1', '0']",03/20/2013,2,-121.288754,ADULT DAY PROGRAM,"04/13/2016, 10/11/2011",95202,SAN JOAQUIN,928 EAST ROSE STREET,"04/13/2016, 04/13/2016, 03/11/2013, 02/11/2013, 12/07/2011, 10/11/2011",2,DDSO-DBA ALAN SHORT CENTER,ALAN SHORT CENTER,MARGARITA GARCIA,STOCKTON,37.965455,1,105,1,6,4/13/2016,"04/13/2016, 12/07/2011",
11/2/2015,LICENSED,(707) 978-3229,496803583,CA,21,0,0,,,0,,No Complaints,2,-122.735671,ADULT DAY PROGRAM,,95401,SONOMA,394 TESCONI COURT,"09/28/2015, 09/28/2015",0,ALCHEMIA,ALCHEMIA,LIZ JAHREN,SANTA ROSA,38.446593,0,45,0,2,9/28/2015,"09/28/2015, 09/28/2015",
6/8/1999,LICENSED,(530) 283-3611,325000770,CA,25,1,0,"80087(a), 80075(I)","05/31/2012, 06/25/2012",0,,No Complaints,0,-119.463543,ADULT DAY PROGRAM,05/24/2012,95971,PLUMAS,112 BUCHANAN ST,05/24/2012,0,"PLUMAS RURAL SERVICES, INC.",ALIVE,"PILLER, MICHELE",QUINCY,35.152324,1,30,1,1,5/24/2012,,
7/30/2015,LICENSED,(925) 890-2709,079200520,CA,15,0,0,,,0,,No Complaints,1,-122.025456,ADULT DAY PROGRAM,,94520,CONTRA COSTA,"4071 PORT CHICAGO HWY, STE.140",07/30/2015,0,"FUTURES EXPLORED,INC.",ALIVE CENTRAL COUNTY,"HACKETT, HEATHER",CONCORD,38.014594,0,30,0,1,7/30/2015,07/30/2015,
4/4/1996,LICENSED,(925) 779-1039,075600047,CA,15,1,0,"82087(a)(3), 82088(e)(1)","07/15/2014, 07/28/2014",0,,No Complaints,2,-120.846459,ADULT DAY PROGRAM,07/14/2014,94509,CONTRA COSTA,806-808-810 W. THIRD AVENUE,"07/14/2014, 03/18/2014, 06/29/2011",0,"FUTURES EXPLORED, INC.",ALIVE EAST COUNTY,WILL SANFORD,ANTIOCH,37.327375,1,30,1,3,7/14/2014,"06/29/2011, 03/18/2014",
3/25/2003,LICENSED,(925) 756-0817,079200045,CA,15,2,0,"82076(a)(17), 82076(a)(16), 82019(e)(2), 82087(a)(3), 82087(a), 82072(a)(2), 82087(a)","09/20/2013, 09/20/2013, 02/13/2014, 02/11/2014, 09/30/2013, 09/30/2013, 02/17/2014",0,"['3', '0', '2', '2']",11/18/2013,1,-119.18012,ADULT DAY PROGRAM,"02/12/2014, 02/10/2014",94509,CONTRA COSTA,"625 W. FOURTH STREET, SUITE 8","06/11/2015, 02/12/2014, 02/10/2014, 09/19/2013",1,"FUTURES EXPLORED, INC.",ALIVE EAST COUNTY II,WILL SANFORD,ANTIOCH,34.199153,1,45,2,4,6/11/2015,06/11/2015,
9/18/2007,LICENSED,(530) 432-6564,297003934,CA,27,3,0,,,0,,No Complaints,0,-121.270881,ADULT DAY PROGRAM,"03/29/2016, 10/17/2012, 09/13/2011",95977,NEVEDA,10140 WILD TURKEY LANE,"03/29/2016, 10/17/2012, 09/13/2011",0,"COOK, JEAN-CLAUDE & JEFFERY C.",ALL-STAR PROGRAMS,"COOK, JEFFERY C.",SMARTSVILLE,39.202234,0,24,0,3,3/29/2016,,
11/13/2015,LICENSED,(415) 218-0699,496803613,CA,21,0,0,,,0,,No Complaints,2,-122.709643,ADULT DAY PROGRAM,,94928,SONOMA,50 EXECUTIVE AVE,"10/09/2015, 10/09/2015",0,"ALLIED INTEGRATION SERVICES, LLC",ALLIED INTEGRATION SERVICES,"VANDERVILLE, ERIC",ROHNERT PARK,38.355754,0,16,0,2,10/9/2015,"10/09/2015, 10/09/2015",
